=== Hoogland et al. Replication (self-contained) ===
2L attn-only, d=256, 8 heads, softmax, no QK norm
Data: DSIR-filtered Pile (streaming), GPT-2 tokenizer, vocab=5000
Batch: 64, n_ctx: 1024, tokens/step: 65,536
Max steps: 76,293 (5.0B tokens)
Pile val cache exists at /workspace/tensor-mars/workspaces/logan/cached_tokens/dsir_pile_val.pt
Model parameters: 3,086,848 (compiled)
Induction test: 100 seqs, half_len=512, vocab=5000
Token indices sequence length is longer than the specified maximum sequence length for this model (1287 > 1024). Running this sequence through the model will result in indexing errors
  step 25200/76293  loss=5.2318  tokens=1.652B  elapsed=3408s
  step 25300/76293  loss=5.1642  tokens=1.658B  elapsed=3422s
  step 25400/76293  loss=5.1563  tokens=1.665B  elapsed=3438s
  step 25500/76293  loss=5.1049  tokens=1.671B  elapsed=3455s
  step 25600/76293  loss=5.1351  tokens=1.678B  elapsed=3467s
  step 25700/76293  loss=5.2545  tokens=1.684B  elapsed=3483s
  step 25800/76293  loss=5.2213  tokens=1.691B  elapsed=3497s
  step 25900/76293  loss=5.2207  tokens=1.697B  elapsed=3511s
  step 26000/76293  loss=5.1304  tokens=1.704B  elapsed=3527s
  step 26100/76293  loss=5.2369  tokens=1.710B  elapsed=3542s
  step 26200/76293  loss=5.1591  tokens=1.717B  elapsed=3555s
  step 26300/76293  loss=5.2293  tokens=1.724B  elapsed=3571s
  step 26400/76293  loss=5.1458  tokens=1.730B  elapsed=3588s
  step 26500/76293  loss=5.1748  tokens=1.737B  elapsed=3602s
  step 26600/76293  loss=5.1404  tokens=1.743B  elapsed=3616s
  step 26700/76293  loss=5.2034  tokens=1.750B  elapsed=3630s
  step 26800/76293  loss=5.1663  tokens=1.756B  elapsed=3646s
  step 26900/76293  loss=5.1885  tokens=1.763B  elapsed=3659s
  step 27000/76293  loss=5.1931  tokens=1.769B  elapsed=3673s
  step 27100/76293  loss=5.2793  tokens=1.776B  elapsed=3687s
  step 27200/76293  loss=5.1576  tokens=1.783B  elapsed=3702s
  step 27300/76293  loss=5.0921  tokens=1.789B  elapsed=3717s
  step 27400/76293  loss=5.2138  tokens=1.796B  elapsed=3733s
  step 27500/76293  loss=5.1993  tokens=1.802B  elapsed=3748s

  [step 27500, 1.80B tokens] induction_score=-0.0097 1st=10.1458 2nd=10.1555 toy_acc=0.000215 (0.0215%)
  step 27600/76293  loss=5.1566  tokens=1.809B  elapsed=3764s
  step 27700/76293  loss=5.1914  tokens=1.815B  elapsed=3778s
  step 27800/76293  loss=5.2435  tokens=1.822B  elapsed=3793s
  step 27900/76293  loss=5.2894  tokens=1.828B  elapsed=3809s
  step 28000/76293  loss=5.1528  tokens=1.835B  elapsed=3823s
  step 28100/76293  loss=5.1251  tokens=1.842B  elapsed=3839s
  step 28200/76293  loss=5.1433  tokens=1.848B  elapsed=3854s
  step 28300/76293  loss=5.1515  tokens=1.855B  elapsed=3869s
  step 28400/76293  loss=5.2048  tokens=1.861B  elapsed=3884s
  step 28500/76293  loss=5.1560  tokens=1.868B  elapsed=3901s
  step 28600/76293  loss=5.0629  tokens=1.874B  elapsed=3916s
  step 28700/76293  loss=5.0593  tokens=1.881B  elapsed=3931s
  step 28800/76293  loss=5.1405  tokens=1.887B  elapsed=3947s
  step 28900/76293  loss=5.1354  tokens=1.894B  elapsed=3960s
  step 29000/76293  loss=5.1431  tokens=1.901B  elapsed=3975s
  step 29100/76293  loss=5.1236  tokens=1.907B  elapsed=3988s
  step 29200/76293  loss=5.1646  tokens=1.914B  elapsed=4003s
  step 29300/76293  loss=5.1300  tokens=1.920B  elapsed=4017s
  step 29400/76293  loss=5.1828  tokens=1.927B  elapsed=4033s
  step 29500/76293  loss=5.2074  tokens=1.933B  elapsed=4046s
  step 29600/76293  loss=5.1066  tokens=1.940B  elapsed=4061s
  step 29700/76293  loss=5.2304  tokens=1.946B  elapsed=4077s
  step 29800/76293  loss=5.0137  tokens=1.953B  elapsed=4095s
  step 29900/76293  loss=5.1516  tokens=1.960B  elapsed=4112s
  step 30000/76293  loss=5.1581  tokens=1.966B  elapsed=4127s

  [step 30000, 1.97B tokens] induction_score=-0.0058 1st=10.0444 2nd=10.0501 toy_acc=0.000157 (0.0157%)
  step 30100/76293  loss=5.1455  tokens=1.973B  elapsed=4142s
  step 30200/76293  loss=5.2772  tokens=1.979B  elapsed=4159s
  step 30300/76293  loss=5.1286  tokens=1.986B  elapsed=4172s
  step 30400/76293  loss=5.1385  tokens=1.992B  elapsed=4186s
  step 30500/76293  loss=5.1316  tokens=1.999B  elapsed=4199s
