=== Hoogland Variant: ctx=512, d=512 (wider + shorter) ===
2L attn-only, d=512, 16 heads (d_head=32), softmax, no QK norm
Data: DSIR-filtered Pile (streaming), GPT-2 tokenizer, vocab=5000
Batch: 96, n_ctx: 512, tokens/step: 49,152
Max steps: 101,725 (5.0B tokens)
Pile val cache exists at /workspace/tensor-mars/workspaces/logan/cached_tokens/dsir_pile_val_ctx512.pt
Model parameters: 7,222,272 (compiled)
Induction test: 100 seqs, half_len=256, vocab=5000
Warning: You are sending unauthenticated requests to the HF Hub. Please set a HF_TOKEN to enable higher rate limits and faster downloads.
Token indices sequence length is longer than the specified maximum sequence length for this model (1287 > 1024). Running this sequence through the model will result in indexing errors
  step 20300/101725  loss=5.0119  tokens=0.998B  elapsed=2035s
  step 20400/101725  loss=5.0977  tokens=1.003B  elapsed=2044s
  step 20500/101725  loss=4.9943  tokens=1.008B  elapsed=2052s
  step 20600/101725  loss=4.9671  tokens=1.013B  elapsed=2062s
  step 20700/101725  loss=5.0226  tokens=1.017B  elapsed=2072s
  step 20800/101725  loss=4.9784  tokens=1.022B  elapsed=2082s
  step 20900/101725  loss=4.9219  tokens=1.027B  elapsed=2091s
  step 21000/101725  loss=5.0578  tokens=1.032B  elapsed=2100s
  step 21100/101725  loss=4.9533  tokens=1.037B  elapsed=2111s
  step 21200/101725  loss=5.0203  tokens=1.042B  elapsed=2121s
  step 21300/101725  loss=4.9566  tokens=1.047B  elapsed=2131s
  step 21400/101725  loss=4.9574  tokens=1.052B  elapsed=2141s
  step 21500/101725  loss=5.0509  tokens=1.057B  elapsed=2151s
  step 21600/101725  loss=5.0747  tokens=1.062B  elapsed=2160s
  step 21700/101725  loss=5.0594  tokens=1.067B  elapsed=2168s
  step 21800/101725  loss=4.8709  tokens=1.072B  elapsed=2177s
  step 21900/101725  loss=5.0153  tokens=1.076B  elapsed=2187s
  step 22000/101725  loss=5.0304  tokens=1.081B  elapsed=2197s
  step 22100/101725  loss=4.9808  tokens=1.086B  elapsed=2204s
  step 22200/101725  loss=4.8713  tokens=1.091B  elapsed=2214s
  step 22300/101725  loss=4.9510  tokens=1.096B  elapsed=2224s
  step 22400/101725  loss=5.0553  tokens=1.101B  elapsed=2232s
  step 22500/101725  loss=4.9970  tokens=1.106B  elapsed=2243s

  [step 22500, 1.11B tokens] induction_score=0.0042 1st=10.1182 2nd=10.1141 toy_acc=0.000314 (0.0314%)
  step 22600/101725  loss=5.0096  tokens=1.111B  elapsed=2253s
  step 22700/101725  loss=4.9948  tokens=1.116B  elapsed=2262s
  step 22800/101725  loss=5.0214  tokens=1.121B  elapsed=2270s
  step 22900/101725  loss=5.0091  tokens=1.126B  elapsed=2281s
  step 23000/101725  loss=5.0573  tokens=1.130B  elapsed=2289s
  step 23100/101725  loss=4.9447  tokens=1.135B  elapsed=2297s
  step 23200/101725  loss=4.9130  tokens=1.140B  elapsed=2307s
  step 23300/101725  loss=4.9960  tokens=1.145B  elapsed=2317s
  step 23400/101725  loss=5.0176  tokens=1.150B  elapsed=2328s
  step 23500/101725  loss=5.0547  tokens=1.155B  elapsed=2337s
  step 23600/101725  loss=5.0959  tokens=1.160B  elapsed=2344s
  step 23700/101725  loss=5.0445  tokens=1.165B  elapsed=2356s
  step 23800/101725  loss=4.9403  tokens=1.170B  elapsed=2366s
  step 23900/101725  loss=4.9870  tokens=1.175B  elapsed=2377s
  step 24000/101725  loss=4.9816  tokens=1.180B  elapsed=2388s
  step 24100/101725  loss=5.0001  tokens=1.185B  elapsed=2398s
  step 24200/101725  loss=4.9655  tokens=1.189B  elapsed=2408s
  step 24300/101725  loss=5.0610  tokens=1.194B  elapsed=2417s
  step 24400/101725  loss=5.0426  tokens=1.199B  elapsed=2426s
  step 24500/101725  loss=4.9656  tokens=1.204B  elapsed=2436s
  step 24600/101725  loss=4.9316  tokens=1.209B  elapsed=2444s
  step 24700/101725  loss=5.1035  tokens=1.214B  elapsed=2455s
  step 24800/101725  loss=4.9695  tokens=1.219B  elapsed=2465s
  step 24900/101725  loss=5.0859  tokens=1.224B  elapsed=2475s
  step 25000/101725  loss=5.0196  tokens=1.229B  elapsed=2485s

  [step 25000, 1.23B tokens] induction_score=0.0074 1st=10.0797 2nd=10.0723 toy_acc=0.000275 (0.0275%)
  step 25100/101725  loss=5.0944  tokens=1.234B  elapsed=2496s
  step 25200/101725  loss=4.9789  tokens=1.239B  elapsed=2506s
  step 25300/101725  loss=4.9596  tokens=1.244B  elapsed=2516s
  step 25400/101725  loss=4.9890  tokens=1.248B  elapsed=2523s
  step 25500/101725  loss=5.0918  tokens=1.253B  elapsed=2534s
  step 25600/101725  loss=4.9739  tokens=1.258B  elapsed=2545s
  step 25700/101725  loss=5.0022  tokens=1.263B  elapsed=2555s
  step 25800/101725  loss=4.9647  tokens=1.268B  elapsed=2565s
  step 25900/101725  loss=5.0075  tokens=1.273B  elapsed=2576s
  step 26000/101725  loss=5.0099  tokens=1.278B  elapsed=2585s
  step 26100/101725  loss=4.9866  tokens=1.283B  elapsed=2595s
  step 26200/101725  loss=4.9661  tokens=1.288B  elapsed=2606s
